PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240105,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20240120065927
20240108,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20240123065913
20240109,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20240124065912
20240110,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20240125065917
20240111,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20240126065910
20240115,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20240130065928
20240116,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20240131065939
20240117,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20240201065942
20240118,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20240202065931
20240223,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20240309065947
20240226,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20240312070022
20240227,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20240313065944
20240228,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4330,5.0,kg,1.0,俺,N,20240314065945
20240229,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4330,5.0,kg,1.0,俺,N,20240318011344
20240304,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4330,5.0,kg,1.0,俺,N,20240319070511
20240305,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4330,5.0,kg,1.0,俺,N,20240320070501
20240306,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4330,5.0,kg,1.0,俺,N,20240321070453
20240307,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4330,5.0,kg,1.0,俺,N,20240322070436
20240308,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4500,5.0,kg,1.0,俺,N,20240323070536
20240311,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4500,5.0,kg,1.0,俺,N,20240326070457
20240312,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4660,5.0,kg,1.0,俺,N,20240327070513
20240313,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4660,5.0,kg,1.0,俺,N,20240328070517
20240314,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4660,5.0,kg,1.0,俺,N,20240329070517
20240315,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4660,5.0,kg,1.0,俺,N,20240330070516
20240318,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4660,5.0,kg,1.0,俺,N,20240402070508
20240319,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4660,5.0,kg,1.0,俺,N,20240403070538
20240320,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4660,5.0,kg,1.0,俺,N,20240404070521
20240321,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4660,5.0,kg,1.0,俺,N,20240405070503
20240322,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4660,5.0,kg,1.0,俺,N,20240406070524
20240325,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4660,5.0,kg,1.0,俺,N,20240409070549
20240326,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4660,5.0,kg,1.0,俺,N,20240410070524
20240327,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4660,5.0,kg,1.0,俺,N,20240411070522
20240328,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4660,5.0,kg,1.0,俺,N,20240412070542
20240329,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4660,5.0,kg,1.0,俺,N,20240413070523
20240401,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4330,5.0,kg,1.0,俺,N,20240416070514
20240402,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4000,5.0,kg,1.0,俺,N,20240417070513
20240403,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4000,5.0,kg,1.0,俺,N,20240418070530
20240404,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4000,5.0,kg,1.0,俺,N,20240419070512
20240405,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4000,5.0,kg,1.0,俺,N,20240420070512
20240408,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4000,5.0,kg,1.0,俺,N,20240423070541
20240409,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4000,5.0,kg,1.0,俺,N,20240424070521
20240411,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4000,5.0,kg,1.0,俺,N,20240426070525
20240412,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4000,5.0,kg,1.0,俺,N,20240427070548
20240415,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4000,5.0,kg,1.0,俺,N,20240430070532
20240416,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4000,5.0,kg,1.0,俺,N,20240501070528
20240417,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4000,5.0,kg,1.0,俺,N,20240502070559
20240418,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4000,5.0,kg,1.0,俺,N,20240503070523
20240419,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4000,5.0,kg,1.0,俺,N,20240504070522
20240422,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4000,5.0,kg,1.0,俺,N,20240507070525
20241129,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20241216123040
20241202,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20241217111607
20241203,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20241218121554
20241204,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20241219114626
20241205,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20241224020109
20241209,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20241224111605
20241210,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20241226013055
20241211,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20241226111605
20241212,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4830,5.0,kg,1.0,俺,N,20241227111549
20241213,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4830,5.0,kg,1.0,俺,N,20241230030114
20241216,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4830,5.0,kg,1.0,俺,N,20241231114609
20241217,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4830,5.0,kg,1.0,俺,N,20250102054558
20241218,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4830,5.0,kg,1.0,俺,N,20250102104639
20241219,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,4830,5.0,kg,1.0,俺,N,20250107010100
20241220,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20250106041607
20241223,97,330001,腊芭府,33,面合,3311,没林,428,噶绊,0,荐涝,1,家概,4,惑前,5000,5.0,kg,1.0,俺,N,20250107110049
