PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240206,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,5330,4.0,kg,1.0,kg,N,20240221112510
20240207,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,5330,4.0,kg,1.0,kg,N,20240222065940
20240208,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,5330,4.0,kg,1.0,kg,N,20240223065943
20240213,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,5330,4.0,kg,1.0,kg,N,20240228065936
20240214,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,5330,4.0,kg,1.0,kg,N,20240229065935
20240215,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,4930,4.0,kg,1.0,kg,N,20240301070020
20240216,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,4440,4.0,kg,1.0,kg,N,20240302065953
20240219,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,4000,4.0,kg,1.0,kg,N,20240305065952
20240220,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3500,4.0,kg,1.0,kg,N,20240306065941
20240221,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3500,4.0,kg,1.0,kg,N,20240307065956
20240222,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3300,4.0,kg,1.0,kg,N,20240308065948
20240223,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3300,4.0,kg,1.0,kg,N,20240309065947
20240226,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3300,4.0,kg,1.0,kg,N,20240312070022
20240227,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3300,4.0,kg,1.0,kg,N,20240313065944
20240228,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2770,4.0,kg,1.0,kg,N,20240314065945
20240229,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2770,4.0,kg,1.0,kg,N,20240318011344
20240304,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2660,4.0,kg,1.0,kg,N,20240319070511
20240305,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2660,4.0,kg,1.0,kg,N,20240320070501
20240306,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2880,4.0,kg,1.0,kg,N,20240321070453
20240307,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2880,4.0,kg,1.0,kg,N,20240322070436
20240308,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3200,4.0,kg,1.0,kg,N,20240323070536
20240311,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3300,4.0,kg,1.0,kg,N,20240326070457
20240312,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3430,4.0,kg,1.0,kg,N,20240327070513
20240313,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3430,4.0,kg,1.0,kg,N,20240328070517
20240314,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3500,4.0,kg,1.0,kg,N,20240329070517
20240315,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3530,4.0,kg,1.0,kg,N,20240330070516
20240318,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3530,4.0,kg,1.0,kg,N,20240402070508
20240319,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3530,4.0,kg,1.0,kg,N,20240403070538
20240320,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3430,4.0,kg,1.0,kg,N,20240404070521
20240321,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3430,4.0,kg,1.0,kg,N,20240405070503
20240322,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3430,4.0,kg,1.0,kg,N,20240406070524
20240325,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3430,4.0,kg,1.0,kg,N,20240409070549
20240326,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3430,4.0,kg,1.0,kg,N,20240410070524
20240327,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2830,4.0,kg,1.0,kg,N,20240411070522
20240328,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2660,4.0,kg,1.0,kg,N,20240412070542
20240329,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240413070523
20240401,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240416070514
20240402,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240417070513
20240403,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240418070530
20240404,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240419070512
20240405,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240420070512
20240408,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240423070541
20240409,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240424070521
20240411,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240426070525
20240412,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240427070548
20240415,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240430070532
20240416,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240501070528
20240417,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240502070559
20240418,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2680,4.0,kg,1.0,kg,N,20240503070523
20240419,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2590,4.0,kg,1.0,kg,N,20240504070522
20240422,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240507070525
20240423,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240508070624
20240424,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240509070535
20240425,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2360,4.0,kg,1.0,kg,N,20240510070557
20240426,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2360,4.0,kg,1.0,kg,N,20240511070530
20240429,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2360,4.0,kg,1.0,kg,N,20240514070607
20240430,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2360,4.0,kg,1.0,kg,N,20240515070520
20240502,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2300,4.0,kg,1.0,kg,N,20240517070526
20240503,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240518070528
20240507,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240522070536
20240508,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240523070554
20240509,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240524070546
20240510,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240525070546
20240513,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2500,4.0,kg,1.0,kg,N,20240528070601
20240514,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2330,4.0,kg,1.0,kg,N,20240529070534
20240516,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2330,4.0,kg,1.0,kg,N,20240531070600
20240517,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2330,4.0,kg,1.0,kg,N,20240601070544
20240520,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2330,4.0,kg,1.0,kg,N,20240604020620
20240521,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2330,4.0,kg,1.0,kg,N,20240605070543
20240522,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2330,4.0,kg,1.0,kg,N,20240606070544
20240523,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2600,4.0,kg,1.0,kg,N,20240607070559
20240524,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2460,4.0,kg,1.0,kg,N,20240608070554
20240527,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2130,4.0,kg,1.0,kg,N,20240611070557
20240528,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2000,4.0,kg,1.0,kg,N,20240612070550
20240529,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2130,4.0,kg,1.0,kg,N,20240613070605
20240530,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2300,4.0,kg,1.0,kg,N,20240614070543
20240531,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2300,4.0,kg,1.0,kg,N,20240615070558
20240603,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2060,4.0,kg,1.0,kg,N,20240618070553
20240604,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,1770,4.0,kg,1.0,kg,N,20240619070544
20240607,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,1770,4.0,kg,1.0,kg,N,20240622070550
20240610,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,1770,4.0,kg,1.0,kg,N,20240625072132
20240611,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,1660,4.0,kg,1.0,kg,N,20240626070553
20240612,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,1660,4.0,kg,1.0,kg,N,20240627070548
20240613,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,1600,4.0,kg,1.0,kg,N,20240628070549
20240614,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,1500,4.0,kg,1.0,kg,N,20240629070612
20240617,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,1500,4.0,kg,1.0,kg,N,20240702070604
20240618,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,1500,4.0,kg,1.0,kg,N,20240703070603
20240619,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,1500,4.0,kg,1.0,kg,N,20240704070555
20240620,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,1500,4.0,kg,1.0,kg,N,20240705070614
20240621,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,1500,4.0,kg,1.0,kg,N,20240706070547
20240624,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,1630,4.0,kg,1.0,kg,N,20240709070559
20240625,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,1830,4.0,kg,1.0,kg,N,20240710070548
20240626,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,1900,4.0,kg,1.0,kg,N,20240711070550
20240627,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2130,4.0,kg,1.0,kg,N,20240712070604
20240628,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2260,4.0,kg,1.0,kg,N,20240713070620
20240701,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2460,4.0,kg,1.0,kg,N,20240716070551
20240702,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2630,4.0,kg,1.0,kg,N,20240717070557
20240703,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2630,4.0,kg,1.0,kg,N,20240718070551
20240704,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2430,4.0,kg,1.0,kg,N,20240719070556
20240705,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2360,4.0,kg,1.0,kg,N,20240720070714
20240708,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2430,4.0,kg,1.0,kg,N,20240723120613
20240709,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2430,4.0,kg,1.0,kg,N,20240724070649
20240710,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2460,4.0,kg,1.0,kg,N,20240725070606
20240711,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2560,4.0,kg,1.0,kg,N,20240726070603
20240712,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2560,4.0,kg,1.0,kg,N,20240730040122
20240715,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2830,4.0,kg,1.0,kg,N,20240730080622
20240716,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3030,4.0,kg,1.0,kg,N,20240731120707
20240717,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3030,4.0,kg,1.0,kg,N,20240801120632
20240718,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3030,4.0,kg,1.0,kg,N,20240802120654
20240719,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3030,4.0,kg,1.0,kg,N,20240805014641
20240722,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3030,4.0,kg,1.0,kg,N,20240806060616
20240723,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3030,4.0,kg,1.0,kg,N,20240807110629
20240724,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3100,4.0,kg,1.0,kg,N,20240808120630
20240725,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,2830,4.0,kg,1.0,kg,N,20240809120625
20240726,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3030,4.0,kg,1.0,kg,N,20240812014658
20240729,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3330,4.0,kg,1.0,kg,N,20240813120632
20240730,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3330,4.0,kg,1.0,kg,N,20240814120651
20240731,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3330,4.0,kg,1.0,kg,N,20240816010622
20240801,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3330,4.0,kg,1.0,kg,N,20240816104621
20240802,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3330,4.0,kg,1.0,kg,N,20240820011634
20240805,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3430,4.0,kg,1.0,kg,N,20240820104627
20240806,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3430,4.0,kg,1.0,kg,N,20240821114630
20240807,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3560,4.0,kg,1.0,kg,N,20240822104626
20240808,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3560,4.0,kg,1.0,kg,N,20240823104625
20240809,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3560,4.0,kg,1.0,kg,N,20240826010152
20240812,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3760,4.0,kg,1.0,kg,N,20240827104705
20240813,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3300,4.0,kg,1.0,kg,N,20240828114654
20240814,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3430,4.0,kg,1.0,kg,N,20240829104636
20240816,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3300,4.0,kg,1.0,kg,N,20240902123055
20240819,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3430,4.0,kg,1.0,kg,N,20240903104602
20240820,97,330001,腊芭府,33,面合,3311,没林,233,凯公,0,凯公,1,家概,4,惑前,3430,4.0,kg,1.0,kg,N,20240904024615
