PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240613,97,330001,腊芭府,33,面合,3311,没林,255,乔噶,0,没,1,家概,4,惑前,960,10.0,kg,100.0,g,100.0,g,N,20240628070549
20240614,97,330001,腊芭府,33,面合,3311,没林,255,乔噶,0,没,1,家概,4,惑前,960,10.0,kg,100.0,g,100.0,g,N,20240629070612
20240617,97,330001,腊芭府,33,面合,3311,没林,255,乔噶,0,没,1,家概,4,惑前,960,10.0,kg,100.0,g,100.0,g,N,20240702070604
20240618,97,330001,腊芭府,33,面合,3311,没林,255,乔噶,0,没,1,家概,4,惑前,960,10.0,kg,100.0,g,100.0,g,N,20240703070603
20240619,97,330001,腊芭府,33,面合,3311,没林,255,乔噶,0,没,1,家概,4,惑前,960,10.0,kg,100.0,g,100.0,g,N,20240704070555
20240620,97,330001,腊芭府,33,面合,3311,没林,255,乔噶,0,没,1,家概,4,惑前,960,10.0,kg,100.0,g,100.0,g,N,20240705070614
20240621,97,330001,腊芭府,33,面合,3311,没林,255,乔噶,0,没,1,家概,4,惑前,960,10.0,kg,100.0,g,100.0,g,N,20240706070547
20240624,97,330001,腊芭府,33,面合,3311,没林,255,乔噶,0,没,1,家概,4,惑前,960,10.0,kg,100.0,g,100.0,g,N,20240709070559
20240625,97,330001,腊芭府,33,面合,3311,没林,255,乔噶,0,没,1,家概,4,惑前,960,10.0,kg,100.0,g,100.0,g,N,20240710070548
20240626,97,330001,腊芭府,33,面合,3311,没林,255,乔噶,0,没,1,家概,4,惑前,960,10.0,kg,100.0,g,100.0,g,N,20240711070550
